Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_accident,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S006713,10,Sant Martí,65,el Clot,153205,Guipúscoa,,Diumenge,2024,11,Novembre,24,11,Matí,Caiguda (dues rodes),432695.295,4585200.751,2.19354196,41.41369359
2024S006714,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,028000,Augusta,33,Dissabte,2024,11,Novembre,23,20,Tarda,Atropellament,429359.703,4583452.756,2.15383819,41.39766361
2024S006715,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,701267,Dalt (Besòs),K94,Diumenge,2024,11,Novembre,24,13,Matí,Col.lisió lateral,427887.366,4585413.364,2.13599346,41.41519124
2024S006716,7,Horta-Guinardó,37,el Carmel,243909,Pantà de Tremp,66,Diumenge,2024,11,Novembre,24,16,Tarda,Col.lisió fronto-lateral,429198.107,4586613.298,2.15153526,41.42611518
2024S006717,2,Eixample,7,la Dreta de l'Eixample,031300,Bailèn,,Diumenge,2024,11,Novembre,24,16,Tarda,Col.lisió fronto-lateral,430786.398,4583330.195,2.17091737,41.39668388
2024S006718,10,Sant Martí,71,Provençals del Poblenou,115603,Espronceda,,Diumenge,2024,11,Novembre,24,17,Tarda,Col.lisió fronto-lateral,432986.826,4584903.522,2.19706288,41.41104091
2024S006719,2,Eixample,7,la Dreta de l'Eixample,305100,Sant Joan,,Diumenge,2024,11,Novembre,24,21,Tarda,Col.lisió fronto-lateral,430599.118,4583712.762,2.16863341,41.40011338
2024S006720,4,Les Corts,19,les Corts,305201,Sant Joan Bosco,,Dilluns,2024,11,Novembre,25,0,Nit,Xoc contra element estàtic,427354.251,4582900.129,2.12991683,41.39250755
2024S006721,7,Horta-Guinardó,43,Horta,701501,B-20 (Llobregat),K122,Dilluns,2024,11,Novembre,25,8,Matí,Col.lisió lateral,429136.194,4587843.357,2.15065008,41.43718835
2024S006722,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,610,Dilluns,2024,11,Novembre,25,8,Matí,Col.lisió frontal,428403.298,4582903.759,2.14246332,41.39263437
2024S006723,4,Les Corts,19,les Corts,144601,Diagonal,,Dilluns,2024,11,Novembre,25,9,Matí,Col.lisió lateral,427954.947,4582701.104,2.13712502,41.39076907
2024S006724,2,Eixample,6,la Sagrada Família,068900,Cartagena,,Dilluns,2024,11,Novembre,25,9,Matí,Atropellament,431461.533,4584551.408,2.17885443,41.40774083
2024S006725,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",280858,Belladona,20,Dilluns,2024,11,Novembre,25,8,Matí,Xoc contra element estàtic,424309.786,4587080.110,2.09298132,41.42987355
2024S006726,2,Eixample,7,la Dreta de l'Eixample,031300,Bailèn,,Dilluns,2024,11,Novembre,25,10,Matí,Atropellament,430410.296,4583715.960,2.16637439,41.40012586
2024S006727,2,Eixample,6,la Sagrada Família,076807,Sardenya,,Dilluns,2024,11,Novembre,25,10,Matí,Atropellament,430983.348,4584083.918,2.17318715,41.40348936
2024S006728,4,Les Corts,19,les Corts,118306,Europa,,Dilluns,2024,11,Novembre,25,12,Matí,Atropellament,427282.374,4582280.533,2.12913160,41.38692060
2024S006729,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,701278,Taulat,281,Dilluns,2024,11,Novembre,25,9,Matí,Xoc contra element estàtic,434412.067,4584349.397,2.21417442,41.40616767
2024S006730,8,Nou Barris,49,Canyelles,153158,Guineueta Vella,,Dilluns,2024,11,Novembre,25,13,Matí,Caiguda (dues rodes),430124.959,4588297.482,2.16243163,41.44136517
2024S006731,5,Sarrià-Sant Gervasi,24,les Tres Torres,139805,Ganduxer,,Dilluns,2024,11,Novembre,25,11,Matí,Xoc contra element estàtic,427461.504,4584100.122,2.13105577,41.40332509
2024S006732,4,Les Corts,20,la Maternitat i Sant Ramon,343903,Corts,7-9,Dilluns,2024,11,Novembre,25,14,Tarda,Abast,426354.248,4581090.183,2.11817667,41.37611512
2024S006733,10,Sant Martí,73,la Verneda i la Pau,266405,Prim,,Dilluns,2024,11,Novembre,25,16,Tarda,Col.lisió fronto-lateral,433653.973,4586136.524,2.20490924,41.42220161
2024S006734,2,Eixample,9,la Nova Esquerra de l'Eixample,331507,Tarragona,92,Dilluns,2024,11,Novembre,25,16,Tarda,Atropellament,428624.179,4581364.967,2.14528652,41.37879466
2024S006735,2,Eixample,10,Sant Antoni,127704,Floridablanca,,Dilluns,2024,11,Novembre,25,15,Tarda,Col.lisió fronto-lateral,430126.003,4581709.911,2.16320531,41.38203336
